Rank,Name,Revenues 2019,Profits 2019,Assets 2019,Employees 2019,Market Value 2019,
168,EOG Resources,17275.4,3419,33934.5,2800,55209.9,
169,Applied Materials,17253,3313,17773,21000,37652.9,
170,PG&E Corp.,16759,-6851,76995,24000,9390.6,
171,NextEra Energy,16727,6638,103702,14300,92439.3,
172,C.H. Robinson Worldwide,16631.2,664.5,4427.4,15262,11948.8,
173,Gap,16580,1003,8049,135000,9911.7,
174,Lincoln National,16424,1641,298147,11034,11992,
175,DaVita,16368.6,159.4,19110.3,77700,9033.9,
176,Jones Lang LaSalle,16318.4,484.5,10025.5,90000,7033.9,
177,WestRock,16285.1,1906.1,25360.5,45100,9793.5,
178,CDW,16240.5,643,7167.7,9019,14172.1,
179,American Electric Power,16195.7,1923.8,68802.8,17582,41312.8,
180,Cognizant Technology Solutions,16125,2101,15913,281600,41665.9,
181,D.R. Horton,16068,1460.3,14114.6,8437,15452.2,
182,Becton Dickinson,15983,311,53904,76032,67193.2,
183,Nordstrom,15860,564,7886,74000,6879,
184,Netflix,15794.3,1211.2,25974.4,7100,155673.6,
185,Aramark,15789.6,567.9,13720.1,227200,7278.1,
186,Texas Instruments,15784,5580,17137,29888,99559.2,
187,General Mills,15740.4,2131,30624,40000,30987.4,
188,Supervalu,15679,45,4387,23000,0,
189,Colgate-Palmolive,15544,2400,12161,34500,58931.4,
190,Goodyear Tire & Rubber,15475,693,16872,64000,4215.6,
191,PayPal Holdings,15451,2057,43332,21800,121826.1,
192,PPG Industries,15374,1341,16015,47300,26648.8,
193,Omnicom Group,15290.2,1326.4,24617,70400,16327.2,
194,Celgene,15281,4046,35480,8852,66242.2,
195,Jacobs Engineering Group,14984.6,163.4,12645.8,77600,10490.3,
196,Ross Stores,14983.5,1587.5,6073.7,88100,34501.8,
197,Marsh & McLennan,14950,1650,21578,66000,47660.1,
198,Mastercard,14950,5859,24860,14800,241550.3,
199,Land O'Lakes,14936.2,254.5,9124.4,10000,0,
200,Waste Management,14914,1925,22650,43700,44128.7,
201,Illinois Tool Works,14768,2563,14870,48000,46922.6,
202,Ecolab,14668.2,1429.1,20074.5,49000,50908.2,
203,CBS,14514,1960,21859,14750,17727.3,
204,Parker-Hannifin,14302.4,1060.8,15320.1,57170,22201.7,
205,DTE Energy,14212,1120,36288,10600,22854.2,
206,BlackRock,14198,4305,159573,14900,67538.1,
207,United States Steel,14178,1115,10982,29000,3378.5,
208,Community Health Systems,14155,-788,15859,78500,433.5,
209,Kinder Morgan,14144,1609,78866,11012,45294.8,
210,Loews,14066,636,78316,17900,14920.6,
211,Stanley Black & Decker,13982.4,605.2,19408,60767,20610.3,
212,Textron,13972,1222,14264,35000,11846.7,
213,Las Vegas Sands,13729,2413,22547,51500,47247.2,
214,Estee Lauder,13683,1108,12567,46000,59790.5,
215,DISH Network,13621.3,1575.1,30587,16000,14827.5,
216,Stryker,13601,3553,27229,36000,73695.7,
217,Kellogg,13547,1336,17780,34000,19722.6,
218,Biogen,13452.9,4430.7,25288.9,7800,46498,
219,Anadarko Petroleum,13382,615,40376,4700,22828.2,
220,Dominion Resources,13366,2447,77914,16100,61281.9,
221,ADP,13325.8,1620.8,37088.7,57000,69587.5,
222,salesforce.com,13282,1110,30737,35000,122103.3,
223,L Brands,13236.9,643.9,8090.2,57200,7589.9,
224,Henry Schein,13202,535.9,8500.5,22600,9100.9,
225,Newell Brands,13033.1,-6917.9,17716.4,37000,6490.1,
226,Guardian Life Ins. Co. of America,13014.9,464.9,74053,9556,0,
227,BB&T Corp.,12996,3237,225697,35852,35541,
228,State Street Corp.,12973,2599,244626,40142,24919.6,
229,Viacom,12943,1719,23783,10880,11530.7,
230,Ameriprise Financial,12924,2098,137216,14062,17345.1,
231,Core-Mark Holding,12903.9,45.5,1666.1,8087,1703.2,
232,Reinsurance Group of America,12875.7,715.8,64535.2,2767,8922,
233,VF,12862.3,658.6,10311.3,69000,34382.1,
234,Discover Financial Services,12848,2742,109553,16600,23215.1,
235,Global Partners,12672.6,103.9,2424.3,2500,668.4,
236,Edison International,12657,-423,56715,12574,20174.2,
237,Oneok,12593.2,1151.7,18231.7,2684,28746.9,
238,Murphy USA,12524,213.6,2360.8,6800,2755.6,
239,Bed Bath & Beyond,12349.3,424.9,7040.8,65000,2335.7,
240,Consolidated Edison,12337,1382,53920,15307,27230.6,
241,CSX,12250,3309,36729,22475,60805.2,
242,J.C. Penney,12019,-255,7721,95000,471.4,
243,LKQ,11876.7,480.1,11393.4,51000,8926.4,
244,FirstEnergy,11864,1348,40063,12494,22059.6,
245,Steel Dynamics,11821.8,1258.4,7703.6,8200,7862.8,
246,Lithia Motors,11821.4,265.7,5384,13643,2147,
247,MGM Resorts International,11763.1,466.8,30210.7,74500,13777.3,
248,Tenneco,11763,55,13232,81000,1793.2,
249,Sempra Energy,11687,1049,60638,16823,34508.6,
250,Farmers Insurance Exchange,11650.4,-70.5,17016.3,12740,0,
251,Ball,11635,454,16554,17500,19335,
252,Group 1 Automotive,11601.4,157.8,5001.1,14570,1186.6,
253,Unum Group,11598.5,523.4,61875.6,9600,7260.8,
254,Xcel Energy,11537,1261,45987,11068,28903.8,
255,Reliance Steel & Aluminum,11534.5,633.7,8044.9,15600,6054.5,
256,Huntsman,11527,337,7953,10000,5251.9,
257,Norfolk Southern,11458,2666,36239,26662,49860.3,
258,Laboratory Corp. of America,11333.4,883.7,16185.3,61000,15095.8,
259,Corning,11290,1066,27505,51500,25990.7,
260,Expedia,11223,406,18033,24500,17515.6,
261,AutoZone,11221.1,1337.5,9347,72450,25487.9,
262,W.W. Grainger,11221,782,5873,23850,16732.7,
263,Quanta Services,11171.4,293.3,7075.8,39200,5336.2,
264,Crown Holdings,11151,439,15262,33429,7384.9,
265,Office Depot,11130,104,6166,44000,1971.9,
266,Baxter International,11127,1624,15641,50000,41558.9,
267,Entergy,11009.5,848.7,48275.1,13688,18214.6,
268,Charles Schwab,10989,3507,296482,19500,57051.3,
269,NRG Energy,10797,268,10628,4862,11850.9,
270,Live Nation Entertainment,10787.8,60.2,8496.9,16000,13400.5,
271,Universal Health Services,10772.3,779.7,11265.5,75650,12144.3,
272,eBay,10746,2530,22819,14000,33978.7,
273,AES,10736,1203,32521,9000,11975.4,
274,Devon Energy,10734,3064,19566,2880,13832.7,
275,Pacific Life,10699,913,157699,3776,0,
276,CenterPoint Energy,10589,368,27009,7977,15394.2,
277,Discovery Communications,10553,594,32550,9000,13632.8,
278,BorgWarner,10529.6,930.7,10095.3,30000,7974.3,
279,Targa Resources,10484,1.6,16938.2,2460,9645.6,
280,Ally Financial,10466,1263,178869,8200,11025.3,
281,SunTrust Banks,10431,2775,215543,22899,26262.9,
282,American Family Insurance Group,10336.2,295.3,27502.5,11975,0,
283,Delek US Holdings,10265.6,340.1,5760.6,3717,2821.7,
284,Navistar International,10250,340,7230,13100,3199.8,
285,Chesapeake Energy,10231,873,10947,2350,5058.3,
286,United Natural Foods,10226.7,165.7,2964.5,10000,671.8,
287,PulteGroup,10188.3,1022,10173,5086,7758.4,
288,Eastman Chemical,10151,1080,15995,14595,10531.1,
289,Republic Services,10040.9,1036.9,21617,36000,25851.5,
290,Mohawk Industries,9983.6,861.7,13099.1,42100,9121.9,
291,Sonic Automotive,9951.6,51.7,3796.8,9700,636.7,
292,Owens & Minor,9838.7,-437,3773.8,17900,258.4,
293,Xerox,9830,361,14874,32400,7307.6,
294,Boston Scientific,9823,1671,20999,32000,53367.4,
295,Autoliv,9801.1,190.4,6721.6,62091,6413.4,
296,Interpublic Group,9714.4,618.9,15620.3,54000,8087,
297,Public Service Enterprise Group,9696,1438,45326,13145,30002,
298,PVH,9656.8,746.4,11863.7,29350,9164.1,
299,Mosaic,9587.3,470,20119.2,13600,10527.2,
300,Advance Auto Parts,9580.6,423.8,9040.6,55500,12221.9,
301,Hormel Foods,9545.7,1012.1,8142.3,20100,23976.8,
302,O'Reilly Automotive,9536.4,1324.5,7980.8,64325,30438.4,
303,Calpine,9512,10,16062,2282,0,
304,Hertz Global Holdings,9504,-225,21382,38000,1457.8,
305,First Data,9498,1005,38327,19000,24767.2,
306,AGCO,9352,285.5,7626.4,21200,5335.4,
307,Mutual of Omaha Insurance,9347.2,277.3,43913.4,6314,0,
308,Avis Budget Group,9124,165,19149,25600,2646.2,
309,Peter Kiewit Sons',9025,468,4760,20000,0,
310,News Corp.,9024,-1514,16346,28000,7286.8,
311,Voya Financial,8934,875,154682,6000,7291,
312,Air Products & Chemicals,8930.2,1497.8,19178.3,16150,41940.8,
313,Hilton Worldwide Holdings,8906,764,13995,169000,24292.8,
314,GameStop,8850.7,-673,4044.3,33000,1036,
315,Williams,8686,-155,45302,5322,34801.1,
316,Campbell Soup,8685,261,14529,23000,11481.6,
317,Thrivent Financial for Lutherans,8635.2,1233.9,94482.9,3708,0,
318,J.B. Hunt Transport Services,8614.9,489.6,5091.6,27621,11014.2,
319,National Oilwell Varco,8453,-31,19796,34642,10214.7,
320,Eversource Energy,8448.2,1033,38241.3,7998,22512.6,
321,Dick's Sporting Goods,8436.6,319.9,4187.1,27950,3544.9,
322,Genworth Financial,8430,119,100923,3500,1918.5,
323,Fidelity National Information Services,8423,846,23770,47000,36546.5,
324,Ryder System,8409.2,273.3,13051.1,39600,3302.5,
325,Anixter International,8400.2,156.3,4653.1,9300,1878.7,
326,Masco,8359,734,5393,26000,11568.7,
327,Alaska Air Group,8264,437,10912,23376,6937.1,
328,Amphenol,8202,1205,10044.9,73600,28151.4,
329,WESCO International,8176.6,227.3,4605,9100,2395.8,
330,Huntington Ingalls Industries,8176,836,6383,40000,8631.3,
331,Expeditors International of Washington,8138.4,618.2,3314.6,17400,13043.9,
332,EMCOR Group,8130.6,283.5,4088.8,33000,4092.3,
333,Darden Restaurants,8080.1,596,5469.6,180656,15002.6,
334,SpartanNash,8064.6,33.6,1971.9,11400,570.6,
335,Assurant,8057.6,251,41089.3,14250,5854.3,
336,United Rentals,8047,1096,18133,18500,9002.2,
337,Erie Insurance Group,8030.7,686.3,21178.2,5547,0,
338,Auto-Owners Insurance,7999.3,754.5,24476.4,5517,0,
339,Fifth Third Bancorp,7973,2193,146069,17437,19447.4,
340,Foot Locker,7939,541,3820,32401,6841.1,
341,Tractor Supply,7911,532.4,3085.3,22000,11839.7,
342,Alliance Data Systems,7791.2,963.1,30387.7,20000,9273.5,
343,Hershey,7791.1,1177.6,7703,15675,23944.3,
344,PPL,7785,1827,43396,12444,22882.5,
345,Dean Foods,7755.3,-326.9,2118.5,15000,277.9,
346,Oshkosh,7705.5,471.9,5294.2,15000,5262.6,
347,W.R. Berkley,7691.7,640.7,24896,7448,10337,
348,JetBlue Airways,7658,188,10426,18268,5014.9,
349,UGI,7651.2,718.7,11980.9,13000,9634.4,
350,A-Mark Precious Metals,7606.2,-3.4,743,184,83.7,
351,Quest Diagnostics,7531,736,11003,46000,12072.8,
352,Weyerhaeuser,7476,748,17249,9300,19663.4,
353,Casey's General Stores,7472.1,317.9,3469.9,27561,4716.9,
354,Apache,7424,40,21582,3420,13011.6,
355,Dover,7395.8,570.3,8365.8,24000,13621,
356,J.M. Smucker,7357.1,1338.6,15301.2,7000,13251.5,
357,Motorola Solutions,7343,966,9409,16000,23089.5,
358,Western & Southern Financial Group,7205,495,50635.5,2769,0,
359,Graybar Electric,7202.5,143.3,2491.2,8700,0,
360,Avery Dennison,7159,467.4,5177.5,30000,9488.9,
361,Celanese,7155,1207,9313,7684,12606.6,
362,American Financial Group,7150,530,63456,7600,8592.7,
363,Sanmina,7110.1,-95.5,4085.1,41200,1974.2,
364,Insight Enterprises,7080.1,163.7,2775.9,7420,1954.8,
365,Owens Corning,7057,545,9771,20000,5163.4,
366,Packaging Corp. of America,7014.6,738,6569.7,15000,9391,
367,TravelCenters of America,6973.6,-120.6,1442.1,18277,166,
368,Owens-Illinois,6877,257,9699,26500,2915.8,
369,Asbury Automotive Group,6874.4,168,2695.4,8200,1352.5,
370,CMS Energy,6873,657,24529,8291,15760,
371,AK Steel Holding,6818.2,186,4515.7,9500,869.8,
372,Hanesbrands,6804,553.1,7256,68000,6463.1,
373,R.R. Donnelley & Sons,6800.2,-11,3640.8,39500,332.5,
374,Regions Financial,6762,1759,125688,19969,14401,
375,Wyndham Worldwide,6717.7,572.4,13216.3,26000,12843.5,
376,Rockwell Automation,6666,535.5,6262,23000,20975.2,
377,Seaboard,6583,-17,5307,12600,5001.5,
378,Dillard's,6503.3,170.3,3431.4,31005,1897.6,
379,NCR,6405,-88,7761,34000,3245.9,
380,iHeartMedia,6325.8,-201.9,12269.5,18300,97.4,
381,Franklin Resources,6319.1,764.4,14383.5,9691,16885.2,
382,Ameren,6291,815,27215,8838,18050.6,
383,Ralph Lauren,6182.3,162.8,6143.3,18150,10195.7,
384,Clorox,6124,823,5060,8700,20565.2,
385,Realogy Holdings,6079,137,7290,11400,1301.9,
386,HD Supply Holdings,6047,394,4233,11500,7402.1,
387,Old Republic International,6021.8,370.5,19327.1,9000,6334.1,
388,NetApp,5911,76,9865,10300,17125.2,
389,Ingredion,5841,443,5728,11000,6312.7,
390,Harley-Davidson,5716.9,531.5,10665.7,5900,5670.7,
391,Windstream Holdings,5713.1,-723,10257.9,11945,12.9,
392,Yum Brands,5688,1542,4130,34000,30583.2,
393,Western Union,5589.9,851.9,8996.8,12000,8050.9,
